reporting month,GL code,description,amount,ifrstag
1/12/2014,432101010,Fraud - Charge,122.34,Administrative expenses
1/12/2014,432101020,Client Compensation - Charge,1123.24,Administrative expenses
1/12/2014,432101030,Errors - Charge,1123.24,Administrative expenses
1/12/2014,432101040,Overdue interest waived - Charge,1123.24,Administrative expenses
1/12/2014,432101050,Interest waived - Charge,1123.24,Administrative expenses
1/12/2014,432102010,Fraud - Recoveries,1123.24,Administrative expenses
1/12/2014,432102020,Client Compensation - Recoveries,1123.24,Administrative expenses
1/12/2014,432102030,Errors - Recoveries,1123.24,Administrative expenses
1/12/2014,432102040,Overdue interest waived - Recoveries,1123.24,Administrative expenses
1/12/2014,432102050,Interest waived - Recoveries,1123.24,Administrative expenses
1/12/2014,439999999,Migration Account P&L,1123.24,Administrative expenses
1/12/2014,440101000,IA Provision - Overdrafts,1123.24,Administrative expenses
1/12/2014,440102000,IA Provision - Charge Card Account,1123.24,Administrative expenses
1/12/2014,440103000,IA Provision - Term Loans,1123.24,Administrative expenses
1/12/2014,440104000,IA Provision - Mortgages,1123.24,Administrative expenses
1/12/2014,440105000,IA Provision - Bridging Loan,1123.24,Administrative expenses
1/12/2014,440200000,Collective Provision Expense,1123.24,Administrative expenses
1/12/2014,440300000,Asset Write Off,1123.24,Administrative expenses
1/12/2014,450000000,Dividend Paid,1123.24,Administrative expenses
1/12/2014,501010000,HMRC Guarantees - Contingent Liability Offset,1123.24,Administrative expenses
1/12/2014,501020000,Other Guarantees - Contingent Liability Offset,1123.24,Administrative expenses
1/12/2014,502000000,Contingent Ledger FX Revaluation,1123.24,Administrative expenses
1/12/2014,503000000,IR Swaps Asset,1123.24,Administrative expenses
1/12/2014,504000000,IR Swaps Liability - Offset,810.12,Administrative expenses
1/12/2014,505000000,Non Accrual Interest Offset,810.12,Administrative expenses
1/12/2014,506010000,Committed - Unregulated Term Loan,810.12,Administrative expenses
1/12/2014,506020000,Committed - CCA Term Loan,810.12,Administrative expenses
1/12/2014,506030000,Committed - MCOB Term Loan,810.12,Administrative expenses
1/12/2014,506040000,Committed - MCOB Mortgages,810.12,Administrative expenses
1/12/2014,506050000,Committed - Unregulated Bridging Loan,810.12,Administrative expenses
1/12/2014,506060000,Committed - CCA Bridging Loan,810.12,Administrative expenses
1/12/2014,506070000,Committed - MCOB Bridging Loan,810.12,Administrative expenses
1/12/2014,507000000,Committed - Contingent Obligations,810.12,Administrative expenses
1/12/2014,508000000,Comitted - Overdraft Facilities,810.12,Administrative expenses
1/12/2014,509000000,Charge Card Account Facilities,0,Administrative expenses
1/12/2014,510000000,Securities Bought,0,Administrative expenses
1/12/2014,511000000,Securities Sold - Offset,0,Administrative expenses
1/12/2014,515000000,Forward Dated MM Placement,9283.2,Administrative expenses
1/12/2014,516000000,Forward Dated MM Deposit - Offset,9283.2,Administrative expenses
1/12/2014,517000000,Forward Dated Deposits - Offset,9283.2,Administrative expenses
1/12/2014,518000000,FX FWD Contingent Purchases,9283.2,Administrative expenses
1/12/2014,519000000,FX Spot Contingent Purchases,9283.2,Administrative expenses
1/12/2014,520000000,FX FWD Contingent Purchases Settlement,9283.2,Administrative expenses
1/12/2014,521000000,FX Spot Contingent Purchases Settlement,9283.2,Administrative expenses
1/12/2014,522000000,Overdraft Unutilised Facilities,9283.2,Administrative expenses
1/12/2014,599000000,Contingent EoD Error Suspense,9283.2,Administrative expenses
1/12/2014,601010000,HMRC Guarantees - Contingent Liability,9283.2,Other expenses
1/12/2014,601020000,Other Guarantees - Contingent Liability,9283.2,Other expenses
1/12/2014,602000000,Contingent Ledger FX Revaluation,810.12,Other expenses
1/12/2014,603000000,IR Swaps Asset - Offset,810.12,Other expenses
1/12/2014,604000000,IR Swaps Liability,810.12,Other expenses
1/12/2014,605000000,Non Accrual Interest,810.12,Other expenses
1/12/2014,606010000,Committed - Unregulated Term Loan Offset,810.12,Other expenses
1/12/2014,606020000,Committed - CCA Term Loan Offset,810.12,Other expenses
1/12/2014,606030000,Committed - MCOB Term Loan Offset,810.12,Other expenses
1/12/2014,606040000,Committed - MCOB Mortgages Offset,810.12,Other expenses
1/12/2014,606050000,Committed - Unregulated Bridging Loan Offset,810.12,Other expenses
1/12/2014,606060000,Committed - CCA Bridging Loan Offset,810.12,Other expenses
1/12/2014,606070000,Committed - MCOB Bridging Loan Offset,122.34,Other expenses
1/12/2014,607000000,Committed - Contingent Obligations,122.34,Other expenses
1/12/2014,608000000,Comitted - Overdraft Facilities,122.34,Other expenses
1/12/2014,609000000,Charge Card Account Facilities,122.34,Other expenses
1/12/2014,610000000,Securities Bought - Offset,122.34,Other expenses
1/12/2014,611000000,Securities Sold,122.34,Other expenses
1/12/2014,615000000,Forward Dt. MM Placement - Offset,122.34,Other expenses
1/12/2014,616000000,Forward Dated MM Deposit,122.34,Other expenses
1/12/2014,617000000,Fwd Dated Deposit -Corp and Indl,122.34,Other expenses
1/12/2014,618000000,FX FWD Contingent Sales,122.34,Other expenses
1/12/2014,619000000,FX Spot Contingent Sales,45000,Other expenses
1/12/2014,620000000,FX FWD Contingent Sales Settlement,45000,Other expenses
1/12/2014,621000000,FX Spot Contingent Sales Settlement,45000,Other expenses
1/12/2014,622000000,Overdraft Unutilised Facilities,45000,Exchange gains arising on translation of foreign operations
1/12/2014,999999999,Migration Account,45000,Exchange gains arising on translation of foreign operations
