reporting month,GL code,description,amount,ifrstag
1/12/2013,432000000,Purchase Ledger Upload,122.34,Administrative expenses
1/12/2013,432101010,Fraud - Charge,122.34,Administrative expenses
1/12/2013,432101020,Client Compensation - Charge,1123.24,Administrative expenses
1/12/2013,432101030,Errors - Charge,1123.24,Administrative expenses
1/12/2013,432101040,Overdue interest waived - Charge,1123.24,Administrative expenses
1/12/2013,432101050,Interest waived - Charge,1123.24,Administrative expenses
1/12/2013,432102010,Fraud - Recoveries,1123.24,Administrative expenses
1/12/2013,432102020,Client Compensation - Recoveries,1123.24,Administrative expenses
1/12/2013,432102030,Errors - Recoveries,1123.24,Administrative expenses
1/12/2013,432102040,Overdue interest waived - Recoveries,1123.24,Administrative expenses
1/12/2013,432102050,Interest waived - Recoveries,1123.24,Administrative expenses
1/12/2013,439999999,Migration Account P&L,1123.24,Administrative expenses
1/12/2013,440101000,IA Provision - Overdrafts,1123.24,Administrative expenses
1/12/2013,440102000,IA Provision - Charge Card Account,1123.24,Administrative expenses
1/12/2013,440103000,IA Provision - Term Loans,1123.24,Administrative expenses
1/12/2013,440104000,IA Provision - Mortgages,1123.24,Administrative expenses
1/12/2013,440105000,IA Provision - Bridging Loan,1123.24,Administrative expenses
1/12/2013,440200000,Collective Provision Expense,1123.24,Administrative expenses
1/12/2013,440300000,Asset Write Off,1123.24,Administrative expenses
1/12/2013,450000000,Dividend Paid,1123.24,Administrative expenses
1/12/2013,501010000,HMRC Guarantees - Contingent Liability Offset,1123.24,Administrative expenses
1/12/2013,501020000,Other Guarantees - Contingent Liability Offset,1123.24,Administrative expenses
1/12/2013,502000000,Contingent Ledger FX Revaluation,1123.24,Administrative expenses
1/12/2013,503000000,IR Swaps Asset,1123.24,Administrative expenses
1/12/2013,504000000,IR Swaps Liability - Offset,810.12,Administrative expenses
1/12/2013,505000000,Non Accrual Interest Offset,810.12,Administrative expenses
1/12/2013,506010000,Committed - Unregulated Term Loan,810.12,Administrative expenses
1/12/2013,506020000,Committed - CCA Term Loan,810.12,Administrative expenses
1/12/2013,506030000,Committed - MCOB Term Loan,810.12,Administrative expenses
1/12/2013,506040000,Committed - MCOB Mortgages,810.12,Administrative expenses
1/12/2013,506050000,Committed - Unregulated Bridging Loan,810.12,Administrative expenses
1/12/2013,506060000,Committed - CCA Bridging Loan,810.12,Administrative expenses
1/12/2013,506070000,Committed - MCOB Bridging Loan,810.12,Administrative expenses
1/12/2013,507000000,Committed - Contingent Obligations,810.12,Administrative expenses
1/12/2013,508000000,Comitted - Overdraft Facilities,810.12,Administrative expenses
1/12/2013,509000000,Charge Card Account Facilities,122.34,Administrative expenses
1/12/2013,510000000,Securities Bought,810.12,Administrative expenses
1/12/2013,511000000,Securities Sold - Offset,810.12,Administrative expenses
1/12/2013,515000000,Forward Dated MM Placement,810.12,Administrative expenses
1/12/2013,516000000,Forward Dated MM Deposit - Offset,1123.24,Administrative expenses
1/12/2013,517000000,Forward Dated Deposits - Offset,1123.24,Administrative expenses
1/12/2013,518000000,FX FWD Contingent Purchases,1123.24,Administrative expenses
1/12/2013,519000000,FX Spot Contingent Purchases,810.12,Administrative expenses
1/12/2013,520000000,FX FWD Contingent Purchases Settlement,810.12,Administrative expenses
1/12/2013,521000000,FX Spot Contingent Purchases Settlement,122.34,Administrative expenses
1/12/2013,522000000,Overdraft Unutilised Facilities,122.34,Administrative expenses
1/12/2013,599000000,Contingent EoD Error Suspense,122.34,Administrative expenses
1/12/2013,601010000,HMRC Guarantees - Contingent Liability,122.34,Other expenses
1/12/2013,601020000,Other Guarantees - Contingent Liability,122.34,Other expenses
1/12/2013,602000000,Contingent Ledger FX Revaluation,122.34,Other expenses
1/12/2013,603000000,IR Swaps Asset - Offset,122.34,Other expenses
1/12/2013,604000000,IR Swaps Liability,122.34,Other expenses
1/12/2013,605000000,Non Accrual Interest,122.34,Other expenses
1/12/2013,606010000,Committed - Unregulated Term Loan Offset,122.34,Other expenses
1/12/2013,606020000,Committed - CCA Term Loan Offset,122.34,Other expenses
1/12/2013,606030000,Committed - MCOB Term Loan Offset,122.34,Other expenses
1/12/2013,606040000,Committed - MCOB Mortgages Offset,122.34,Other expenses
1/12/2013,606050000,Committed - Unregulated Bridging Loan Offset,122.34,Other expenses
1/12/2013,606060000,Committed - CCA Bridging Loan Offset,122.34,Other expenses
1/12/2013,606070000,Committed - MCOB Bridging Loan Offset,122.34,Other expenses
1/12/2013,607000000,Committed - Contingent Obligations,122.34,Other expenses
1/12/2013,608000000,Comitted - Overdraft Facilities,810.12,Other expenses
1/12/2013,609000000,Charge Card Account Facilities,810.12,Other expenses
1/12/2013,610000000,Securities Bought - Offset,810.12,Other expenses
1/12/2013,611000000,Securities Sold,810.12,Other expenses
1/12/2013,615000000,Forward Dt. MM Placement - Offset,810.12,Other expenses
1/12/2013,616000000,Forward Dated MM Deposit,810.12,Other expenses
1/12/2013,617000000,Fwd Dated Deposit -Corp and Indl,122.34,Other expenses
1/12/2013,618000000,FX FWD Contingent Sales,122.34,Other expenses
1/12/2013,619000000,FX Spot Contingent Sales,122.34,Other expenses
1/12/2013,620000000,FX FWD Contingent Sales Settlement,122.34,Other expenses
1/12/2013,621000000,FX Spot Contingent Sales Settlement,122.34,Other expenses
1/12/2013,622000000,Overdraft Unutilised Facilities,122.34,Exchange gains arising on translation of foreign operations
1/12/2013,999999999,Migration Account,122.34,Exchange gains arising on translation of foreign operations
